"%1 details","Detalles de %1"
"%1 [Trace ID: %2]","%1 [Trace ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","No se ha podido contactar con %1 para verificar esta clave API. Se trata de un problema de conexión y no necesariamente de un problema con la clave. Comprueba que esta tienda pueda realizar solicitudes salientes e inténtalo de nuevo."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 no ha podido verificar esta clave API porque el servicio ha devuelto un error (HTTP %2). Puede que la clave sea correcta, así que inténtalo de nuevo en unos instantes."
"%1 customer address updated.","Dirección del cliente de %1 actualizada."
"%1 is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using %1, you can access flexible trade credit instantly to make purchasing simple.","%1 es una solución de pago para compras B2B en línea que te permite comprar a tus comerciantes y proveedores favoritos mediante crédito comercial. Con %1, puedes acceder al instante a crédito comercial flexible para simplificar tus compras."
"%1 order has been marked as cancelled","El pedido de %1 se ha marcado como cancelado"
"%1 order marked as completed.","Pedido de %1 marcado como completado."
"%1 order marked as partially completed.","Pedido de %1 marcado como parcialmente completado."
"%1 payment has been verified by the customer.","El pago de %1 ha sido verificado por el cliente."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 requiere que se envíe el pedido completo antes de poder cumplirlo."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 ha devuelto una respuesta inesperada al verificar esta clave API, por lo que no se ha podido confirmar. Inténtalo de nuevo en unos instantes."
"%1 terms and conditions","Términos y condiciones de %1"
"* Required Fields","* Campos obligatorios"
"Country","País"
"Credit note","Nota de crédito"
"Department","Departamento"
"Download","Descargar"
"Download as .txt file","Descargar como archivo .txt"
"EOM+%1: pay %1 days after the end of the month","EOM+%1: paga %1 días después del final del mes"
"EOM+%1: pay %1 days after the end of the month, plus a %2 surcharge","EOM+%1: paga %1 días después del final del mes, más un recargo de %2"
"Email Address","Dirección de correo electrónico"
"Autofill company address","Autocompletar la dirección de la empresa"
"Enable company search in address entry","Activar la búsqueda de empresa en la introducción de la dirección"
"Enable order intent","Activar la intención de pedido"
"Enable payment method","Activar el método de pago"
"Validate tax subtotals","Validar subtotales de impuestos"
"Enter details manually","Introducir los datos manualmente"
"Enter manually","Introducir manualmente"
"Environment","Entorno"
"Failed to refund order with %1. Reason: %2","No se ha podido reembolsar el pedido con %1. Motivo: %2"
"Failed to update %1 customer address: %2","No se ha podido actualizar la dirección del cliente de %1: %2"
"First Name","Nombre"
"Fulfilment order status","Estado de pedido de cumplimiento"
"Fulfilment trigger","Activador del cumplimiento"
"General","General"
"Invalid API response from %1.","Respuesta de API no válida de %1."
"Invoice","Factura"
"Invoice purchase with %1 is not available for this order.","La compra con factura mediante %1 no está disponible para este pedido."
"Last 100 debug log lines","Últimas 100 líneas del registro de depuración"
"Last 100 error log records","Últimos 100 registros de errores"
"Last Name","Apellidos"
"Log is empty","El registro está vacío"
"OK","OK"
"On Completion","Al completar"
"On Invoice","Al facturar"
"On Shipment","Al enviar"
"Order Note","Nota del pedido"
"Order edit request was accepted by %1","La solicitud de edición del pedido fue aceptada por %1"
"PO Number","Número de pedido de compra"
"Payment","Pago"
"Payment method","Método de pago"
"Phone Number","Número de teléfono"
"Place Order","Realizar pedido"
"Please try again later.","Inténtalo de nuevo más tarde."
"Production","Producción"
"Project","Proyecto"
"Registered company","Empresa registrada"
"Sandbox","Entorno de pruebas"
"Search","Buscar"
"Search for company","Buscar empresa"
"Select a different sole trader","Seleccionar otro autónomo"
"Sign up now","Regístrate ahora"
"Sole trader","Autónomo"
"Something went wrong with your request to %1. %2","Algo ha salido mal con tu solicitud a %1. %2"
"Sort order","Orden de aparición"
"Street Address","Dirección"
"Successfully refunded order with %1 for order ID: %2. Refund reference: %3","Pedido reembolsado correctamente con %1 para el ID de pedido: %2. Referencia del reembolso: %3"
"TWO","TWO"
"The %1 payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our <a href=""%2"" target=""_blank"">step by step guide</a>.","El plugin de pago %1 para Magento simplifica las compras B2B, facilitando que los comerciantes ofrezcan facturas como método de pago de forma sencilla y segura.<br>El método de pago se muestra junto a los demás métodos de pago en tu proceso de pago actual y ofrece diversas opciones de configuración para adaptarse a las necesidades de tu negocio.<br>Si quieres saber más sobre cómo configurar el plugin, consulta nuestra <a href=""%2"" target=""_blank"">guía paso a paso</a>."
"The buyer and the seller are the same company.","El comprador y el vendedor son la misma empresa."
"The capture action is not available.","La acción de captura no está disponible."
"Title","Título"
"Unable to confirm %1 order with %2 state.","No se ha podido confirmar el pedido %1 con el estado %2."
"Unable to find the requested %1 order","No se ha podido encontrar el pedido %1 solicitado"
"Version","Versión"
"You must accept %1 to place order.","Debes aceptar %1 para realizar el pedido."
"Your invoice purchase with %1 could not be processed. The cart will be restored.","Tu compra con factura con %1 no se ha podido procesar. Se restaurará el carrito."
"Your invoice purchase with %1 failed verification. The cart will be restored.","Tu compra con factura con %1 no ha superado la verificación. Se restaurará el carrito."
"Your invoice purchase with %1 has been cancelled. The cart will be restored.","Tu compra con factura con %1 ha sido cancelada. Se restaurará el carrito."
"Your invoice purchase with %1 has been declined.","Tu compra con factura con %1 ha sido rechazada."
"Your invoice with %1 is likely to be accepted, subject to additional checks.","Es probable que tu factura con %1 sea aceptada, sujeta a comprobaciones adicionales."
"Your request to %1 failed. Reason: %2","Tu solicitud a %1 ha fallado. Motivo: %2"
"Your sole trader account could not be verified.","No se ha podido verificar tu cuenta de autónomo."
"Zip/Postal Code","Código postal"
"Invoice email address","Dirección de correo electrónico de facturación"
"Please ensure that your invoice email address list only contains valid email addresses separated by commas.","Asegúrate de que tu lista de direcciones de correo electrónico para facturas solo contiene direcciones válidas separadas por comas."
"Enter %1 or more characters","Introduce %1 caracteres o más"
"Show invoice email field","Mostrar el campo de correo electrónico para la factura"
"Payment terms type","Tipo de plazos de pago"
"Hyva Extension","Extensión Hyva"
"Checkout fields","Campos del proceso de pago"
"Standard","Estándar"
"End of Month","Fin de mes"
"%1 days","%1 días"
"Controls the position of this payment method relative to other payment methods at checkout. Lower numbers appear first. Default is empty (no specific order).","Controla la posición de este método de pago en relación con los demás métodos de pago en el proceso de pago. Los números más bajos aparecen primero. El valor predeterminado es vacío (sin orden específico)."
"Payment terms","Plazos de pago"
"Select the payment term that will be automatically selected for your customer. Automatic leaves the choice to the checkout, which uses your own default term when you offer it.","Selecciona el plazo de pago que se seleccionará automáticamente para tu cliente. Automático deja la elección al proceso de pago, que usa tu propio plazo predeterminado cuando lo ofreces."
"Surcharge method","Método de recargo"
"No surcharge applied","No se aplica ningún recargo"
"Select a method to surcharge your customer.","Selecciona un método para aplicar un recargo a tu cliente."
"No","No"
"Percentage","Porcentaje"
"Fixed fee","Comisión fija"
"Fixed fee and percentage","Comisión fija y porcentaje"
"Surcharge calculation basis","Base de cálculo del recargo"
"Total fee for selected term","Comisión total para el plazo seleccionado"
"Fee difference vs default payment term","Diferencia de comisión respecto al plazo de pago predeterminado"
"Surcharge line description","Descripción de la línea de recargo"
"Payment terms fee","Comisión por plazos de pago"
"Payment terms fee - %1 days","Comisión por plazos de pago - %1 días"
"Payment terms fee - %1 days from end of month","Comisión por plazos de pago - %1 días desde fin de mes"
"Custom surcharge tax rate (%)","Tasa de impuestos personalizada del recargo (%)"
"Surcharge tax treatment","Tratamiento fiscal del recargo"
"-- Select surcharge tax treatment --","-- Selecciona el tratamiento fiscal del recargo --"
"Custom flat rate (deprecated)","Tasa plana personalizada (obsoleta)"
"Product Tax Class applied to the surcharge. Country, region and combined rates resolve exactly as they do for a product. To leave the surcharge untaxed, create a Tax Rule with a 0% rate and select its Product Tax Class here.","Clase de impuestos del artículo aplicada al recargo. Las tasas por país, región y combinadas se resuelven exactamente igual que para un producto. Para dejar el recargo sin impuestos, crea una Regla de impuestos con una tasa del 0% y selecciona aquí su Clase de impuestos del artículo."
"That surcharge tax treatment leaves the surcharge untaxed in every jurisdiction and is no longer available. Create a Tax Rule with a 0% rate and select its Product Tax Class instead.","Ese tratamiento fiscal del recargo deja el recargo sin impuestos en todas las jurisdicciones y ya no está disponible. Crea una Regla de impuestos con una tasa del 0% y selecciona su Clase de impuestos del artículo en su lugar."
"The saved Surcharge tax treatment leaves the surcharge untaxed in every jurisdiction and is no longer available. Select a Surcharge tax treatment to save this configuration. To leave the surcharge untaxed, create a Tax Rule with a 0% rate and select its Product Tax Class.","El tratamiento fiscal del recargo guardado deja el recargo sin impuestos en todas las jurisdicciones y ya no está disponible. Selecciona un tratamiento fiscal del recargo para guardar esta configuración. Para dejar el recargo sin impuestos, crea una Regla de impuestos con una tasa del 0% y selecciona su Clase de impuestos del artículo."
"This store is set to a surcharge tax treatment that leaves the surcharge untaxed in every jurisdiction. That treatment is no longer available and this configuration can no longer be saved while it is selected.","Esta tienda tiene configurado un tratamiento fiscal del recargo que deja el recargo sin impuestos en todas las jurisdicciones. Ese tratamiento ya no está disponible y esta configuración ya no se puede guardar mientras esté seleccionado."
"Create a Tax Rule with a 0% rate and select its Product Tax Class here.","Crea una Regla de impuestos con una tasa del 0% y selecciona aquí su Clase de impuestos del artículo."
"Manage Tax Rules","Gestionar Reglas de impuestos"
"The ""Custom flat rate"" surcharge tax treatment is deprecated and only available to merchants with a previously configured Surcharge Tax Rate. Please select a tax class instead.","El tratamiento fiscal del recargo ""Tasa plana personalizada"" está obsoleto y solo está disponible para los comerciantes con una Tasa de impuestos del recargo configurada previamente. Selecciona una clase de impuestos en su lugar."
"Deprecated flat tax rate. Only used with the Custom surcharge tax treatment above.","Tasa de impuestos plana obsoleta. Solo se usa con el tratamiento fiscal del recargo Personalizado indicado más arriba."
"Leave empty to use your store's default tax rate (%1%). Enter 0 for tax-exempt.","Déjalo vacío para usar la tasa de impuestos predeterminada de tu tienda (%1%). Introduce 0 para exento de impuestos."
"Warning: No tax rules are configured for your store. Enter a rate manually, or enter 0 for tax-exempt.","Advertencia: No hay Reglas de impuestos configuradas para tu tienda. Introduce una tasa manualmente, o introduce 0 si está exento de impuestos."
"To set up automatic tax resolution:","Para configurar la resolución automática de impuestos:"
"Term","Plazo"
"Fixed amount","Importe fijo"
"Percent of fee","Porcentaje de la comisión"
"Limit","Límite"
"Use Default","Usar predeterminado"
"default","predeterminado"
"No payment terms selected. Select payment terms above to configure surcharges.","No hay plazos de pago seleccionados. Selecciona los plazos de pago de arriba para configurar los recargos."
"Payment Term","Plazo de pago"
"days","días"
"day","día"
"Selected payment terms","Plazos de pago seleccionados"
"Selected payment term is not available.","El plazo de pago seleccionado no está disponible."
"The selected payment term was not applied. Reload the page and select it again.","El plazo de pago seleccionado no se ha aplicado. Recarga la página y selecciónalo de nuevo."
"Applying the selected payment term…","Aplicando el plazo de pago seleccionado…"
"Could not update payment term.","No se ha podido actualizar el plazo de pago."
"Please try again.","Inténtalo de nuevo."
"Please select a country first","Selecciona primero un país"
"API key is missing","Falta la clave API"
"API key is valid","La clave API es válida"
"Activates this plugin as a payment option in the checkout page","Activa este plugin como opción de pago en la página del proceso de pago"
"Descriptive title which gives the buyer a better understanding of this payment method","Título descriptivo que ayuda al comprador a entender mejor este método de pago"
"Let your buyer input additional emails to forward the invoice to on order fulfilment.","Permite que tu comprador introduzca correos electrónicos adicionales a los que reenviar la factura al cumplirse el pedido."
"Optional field which enables the buyer to register a note to the merchant. The information is eventually displayed on the invoice.","Campo opcional que permite al comprador registrar una nota para el comerciante. La información se muestra finalmente en la factura."
"Optional field which enables the buyer to register the department the purchase is connected to. The information is eventually displayed on the invoice.","Campo opcional que permite al comprador registrar el departamento al que está vinculada la compra. La información se muestra finalmente en la factura."
"Optional field which enables the buyer to register the project the purchase is connected to. The information is eventually displayed on the invoice.","Campo opcional que permite al comprador registrar el proyecto al que está vinculada la compra. La información se muestra finalmente en la factura."
"Optional field which enables the buyer to register their purchase order number.","Campo opcional que permite al comprador registrar su número de pedido de compra."
"Select your company from the dropdown to continue.","Selecciona tu empresa en el desplegable para continuar."
"Surcharge refund must be a valid amount (e.g. 1.50 or 1,50).","El reembolso del recargo debe ser un importe válido (p. ej. 1.50 o 1,50)."
"Surcharge refund cannot be negative.","El reembolso del recargo no puede ser negativo."
"Surcharge refund (%1) exceeds the remaining refundable surcharge (%2).","El reembolso del recargo (%1) supera el recargo reembolsable restante (%2)."
"API key","Clave API"
"Select between sandbox and production environment. The sandbox environment is for testing purposes and does not involve real money.","Selecciona entre el entorno de pruebas y el de producción. El entorno de pruebas sirve para hacer pruebas y no implica dinero real."
"API key for sandbox environment is available on your merchant portal (however please reach out to integration@two.inc for access to production keys).","La clave API para el entorno de pruebas está disponible en tu portal de comerciante (sin embargo, ponte en contacto con integration@two.inc para obtener acceso a las claves de producción)."
"The debug mode enables writing to the error logs below. Debug mode should only be enabled when the sandbox environment is active","El modo de depuración permite escribir en los registros de errores de abajo. El modo de depuración solo debería activarse cuando el entorno de pruebas está activo"
"When enabled, the buyer may search for their company within the address entry section of the checkout. Otherwise, company search will be visible within the payment method.","Cuando está activado, el comprador puede buscar su empresa dentro de la sección de introducción de la dirección del proceso de pago. De lo contrario, la búsqueda de empresa se mostrará dentro del método de pago."
"Two surcharge","Recargo de Two"
"%1 days - %2: value cannot be negative.","%1 días - %2: el valor no puede ser negativo."
"%1 days - fixed amount: maximum is %2.","%1 días - importe fijo: el máximo es %2."
"%1 days - percentage: maximum is %2.","%1 días - porcentaje: el máximo es %2."
"30 days","30 días"
"Add optional tax_subtotals metadata to order creation payload to enforce additional validation (recommended).","Añade metadatos opcionales tax_subtotals a la carga útil de creación del pedido para aplicar una validación adicional (recomendado)."
"All Allowed Countries","Todos los países permitidos"
"Amounts are shown in %1.","Los importes se muestran en %1."
"Cannot convert surcharge from %1 to %2: no exchange rate is currently available.","No se puede convertir el recargo de %1 a %2: actualmente no hay ningún tipo de cambio disponible."
"Developed by Magmodules.","Desarrollado por Magmodules."
"Enter a limit amount (in %1) if you do not want to charge your customer more than a specific amount. Leave the limit field empty if you don't want to impose a limit amount.","Introduce un importe límite (en %1) si no quieres cobrar a tu cliente más de una cantidad concreta. Deja el campo de límite vacío si no quieres imponer un importe límite."
"Enter the amount you want to charge your customer.","Introduce el importe que quieres cobrar a tu cliente."
"Max %1.","Máx. %1."
"Enter the percentage of the fee's cost to you that you want the surcharge to recover. 100% means the fee no longer reduces your revenue at all.","Introduce el porcentaje del coste de la comisión que quieres recuperar con el recargo. 100% significa que la comisión ya no reduce tus ingresos en absoluto."
"Enter the amount and percentage of the fee charged to you that you want to offset with a surcharge. Max 100%.","Introduce el importe y el porcentaje de la comisión que se te cobra y que quieres compensar con un recargo. Máx. 100%."
"Fulfilment can be triggered by either initializing shipping or creating an invoice in the Magento admin","El cumplimiento se puede activar iniciando el envío o creando una factura en el panel de administración de Magento"
"I accept the %1 and authorize %2 to process my data automatically.","Acepto las %1 y autorizo a %2 a tratar mis datos automáticamente."
"Payment surcharge configuration","Configuración del recargo de pago"
"Perform a check during checkout to inform the buyer whether an order is likely to be accepted before being placed (recommended).","Realiza una comprobación durante el proceso de pago para informar al comprador de si es probable que se acepte un pedido antes de realizarlo (recomendado)."
"Specific Countries","Países específicos"
"Yes","Sí"
"payment terms","plazos de pago"
"60 days","60 días"
"90 days","90 días"
"Max refundable: %1","Máximo reembolsable: %1"
"Select the payment term(s) you want to offer.","Selecciona el plazo o los plazos de pago que quieres ofrecer."
"Warning: The fixed fee limit of %1 %2 cannot be enforced correctly because no exchange rate is currently available from %3 to %4.","Advertencia: El límite de la tarifa fija de %1 %2 no puede aplicarse correctamente porque actualmente no hay ningún tipo de cambio disponible de %3 a %4."
"Surcharge rounding","Redondeo del recargo"
"Rounding step","Paso de redondeo"
"None","Ninguno"
"Up","Arriba"
"Down","Abajo"
"Snap the buyer surcharge line item to a clean increment. Select None for standard two-decimal amounts.","Ajustar la línea de recargo del comprador a un incremento exacto. Selecciona Ninguno para importes estándar de dos decimales."
"Increment the surcharge is rounded to (e.g. 1 = whole units, 0.50 = nearest half).","Incremento al que se redondea el recargo (p. ej. 1 = unidades enteras, 0,50 = medio más cercano)."
"Company search is temporarily unavailable. Please try again, or enter details manually.","La búsqueda de empresa no está disponible temporalmente. Inténtalo de nuevo o introduce los datos manualmente."
"Company search is unavailable right now. Please try again shortly.","La búsqueda de empresa no está disponible en este momento. Inténtalo de nuevo en unos instantes."
"Minimum order value","Valor mínimo del pedido"
"Minimum order value tax basis","Base imponible del valor mínimo del pedido"
"Whether the basket is compared against the minimum including or excluding tax","Si el carrito se compara con el mínimo con impuestos incluidos o excluidos"
"<strong>Standard:</strong> Payment due after a fixed number of days from fulfilment.<br/><strong>End of Month:</strong> Payment due at the end of month plus additional days from fulfilment.","<strong>Estándar:</strong> Pago vencido tras un número fijo de días desde el cumplimiento.<br/><strong>Fin de mes:</strong> Pago vencido al final del mes más días adicionales desde el cumplimiento."
"Description shown to the buyer for the surcharge line item. Use <strong>%1</strong> to insert the selected number of days (e.g. ""Payment terms fee - %1 days""). If you leave the default, the word <em>days</em> is translated per locale. With an end-of-month payment terms type, the default switches to its end-of-month wording.","Descripción que se muestra al comprador en la línea de recargo. Usa <strong>%1</strong> para insertar el número de días seleccionado (p. ej. ""Payment terms fee - %1 days""). Si dejas el valor predeterminado, la palabra <em>days</em> se traduce según la configuración regional. Con un tipo de plazos de pago de fin de mes, el valor predeterminado cambia a su redacción de fin de mes."
"Hide the payment method below this order value (store base currency, on the tax basis selected below). Leave empty for no minimum.","Ocultar el método de pago por debajo de este valor de pedido (moneda base de la tienda, sobre la base impositiva seleccionada más abajo). Déjalo vacío para no establecer ningún mínimo."
"Platform minimum %1, %2 tax. A value here is interpreted in the store base currency on the tax basis selected below and must be at least this.","Mínimo de la plataforma %1, %2 impuestos. Un valor aquí se interpreta en la moneda base de la tienda sobre la base imponible seleccionada abajo y debe ser al menos este."
"including","incluyendo"
"excluding","excluyendo"
"Minimum order value, %1","Valor mínimo del pedido, %1"
"Including tax (gross)","Impuestos incluidos (bruto)"
"Excluding tax (net)","Impuestos no incluidos (neto)"
"Invoice purchase with %1 is not available for this order. Minimum order value is %2 %3 tax.","La compra con factura mediante %1 no está disponible para este pedido. El valor mínimo del pedido es %2 %3 impuestos."
"Minimum order value must be at least the platform minimum of %1, %2 tax.","El valor mínimo del pedido debe ser como mínimo el mínimo de la plataforma de %1, %2 impuestos."
"Minimum order value must be a non-negative number.","El valor mínimo del pedido debe ser un número no negativo."
"Merchant ID:","ID de comerciante:"
"Refund %1","Reembolsar %1"
"Surcharge","Recargo"
"Please select a surcharge tax treatment. A surcharge method is enabled (see the Surcharge method field), so the Surcharge tax treatment field must be chosen explicitly before this configuration can be saved.","Selecciona un tratamiento fiscal del recargo. Hay un método de recargo activado (consulta el campo Método de recargo), por lo que el campo Tratamiento fiscal del recargo debe elegirse explícitamente antes de poder guardar esta configuración."
"Unable to calculate payment terms surcharge. Please try again in a moment.","No se ha podido calcular el recargo de los plazos de pago. Inténtalo de nuevo en un momento."
"Two payment is temporarily unavailable. Please try another payment method or contact support (ref: %1).","El pago con Two no está disponible temporalmente. Prueba otro método de pago o ponte en contacto con el soporte (ref.: %1)."
"Two payment is temporarily unavailable. Please try another payment method or contact support.","El pago con Two no está disponible temporalmente. Prueba otro método de pago o ponte en contacto con el soporte."
"Pricing API response missing required field: buyer_fee_share","Falta un campo obligatorio en la respuesta de la API de precios: buyer_fee_share"
"Pricing API returned currency %1 but order currency is %2.","La API de precios devolvió la moneda %1 pero la moneda del pedido es %2."
"Surcharge tax calculation returned no result for the surcharge line (%1 currency pass).","El cálculo de impuestos del recargo no ha devuelto ningún resultado para la línea de recargo (pasada de moneda %1)."
"Could not synchronise the cancellation with %1. The order has not been cancelled. Please try again, or contact support if this persists.","No se ha podido sincronizar la cancelación con %1. El pedido no se ha cancelado. Inténtalo de nuevo o ponte en contacto con el servicio de asistencia si el problema persiste."
"Invoice uploaded to Two successfully.","Factura subida a Two correctamente."
"Invoice upload failed: %1","Error al subir la factura: %1"
"⚠ deployment incomplete — code newer than compiled assets; run setup:static-content:deploy","⚠ despliegue incompleto — código más reciente que los recursos compilados; ejecuta setup:static-content:deploy"
"Use Website Value","Usar valor del sitio web"
"Invoice purchase with %1 requires a company number. Please add your company details and try again.","La compra con factura mediante %1 requiere un número de empresa. Añade los datos de tu empresa e inténtalo de nuevo."
"%1 days - limit: a limit of 0 is not allowed. To charge nothing on this term, set the fixed amount and percentage to 0 instead, and leave the limit empty.","%1 días - límite: no se permite un límite de 0. Para no cobrar nada en este plazo, establece el importe fijo y el porcentaje en 0, y deja el límite vacío."
"A limit of 0 is not allowed. To charge nothing on this term, set the fixed amount and percentage to 0 instead, and leave the limit empty.","No se permite un límite de 0. Para no cobrar nada en este plazo, establece el importe fijo y el porcentaje en 0, y deja el límite vacío."
"A limit of 0 is not allowed. To charge nothing on a term, set the fixed amount and the percentage for that term to 0 instead.","No se permite un límite de 0. Para no cobrar nada en un plazo, establece el importe fijo y el porcentaje de ese plazo en 0."
"The limit applies to the whole fee: the percentage and the fixed amount together, not the percentage alone.","El límite se aplica a la comisión completa: el porcentaje y el importe fijo juntos, no solo al porcentaje."
"%1 days - %2: value must be a number.","%1 días - %2: el valor debe ser un número."
"This order could not be placed. Please contact the merchant.","No se ha podido realizar este pedido. Ponte en contacto con el comerciante."
"The payment terms you selected are no longer available. Please select your payment terms again.","Los plazos de pago que seleccionaste ya no están disponibles. Selecciona de nuevo tus plazos de pago."
"A limit of 0 is stored for payment terms not shown in the grid (%1 days), and a percentage surcharge would clamp those terms to no fee at all. Select those terms in the Payment terms setting to clear their limit, then save again.","Se ha guardado un límite de 0 para plazos de pago que no aparecen en la tabla (%1 días), y un recargo porcentual dejaría esos plazos sin comisión alguna. Selecciona esos plazos en el ajuste Plazos de pago para borrar su límite y guarda de nuevo."
"Platform minimum %1, %2 tax. A value here is interpreted in %3 on the tax basis selected below, and no exchange rate for %4 to %3 is currently available, so the two cannot be compared. Configure the rate under Stores > Currency Rates.","Mínimo de la plataforma %1, %2 impuestos. Un valor aquí se interpreta en %3 sobre la base imponible seleccionada abajo, y actualmente no hay ningún tipo de cambio disponible de %4 a %3, por lo que no se pueden comparar. Configura el tipo en Tiendas > Tipo de Cambio."
"Checking API key…","Comprobando la clave API…"
"Please select your company before paying with %1.","Selecciona tu empresa antes de pagar con %1."
"Too many requests. Please wait a moment and try again.","Demasiadas solicitudes. Espera un momento e inténtalo de nuevo."
"The service is temporarily unavailable. Please try again.","El servicio no está disponible temporalmente. Inténtalo de nuevo."
"The payment integration is not available right now.","La integración de pago no está disponible en este momento."
"Invalid order intent payload.","Carga útil de intención de pedido no válida."
"Invalid company search request.","Solicitud de búsqueda de empresa no válida."
"Invalid company lookup request.","Solicitud de consulta de empresa no válida."
"This order is too large to send for approval.","Este pedido es demasiado grande para enviarlo a aprobación."
"We could not fetch this company's address. Please enter it below.","No hemos podido obtener la dirección de esta empresa. Introdúcela a continuación."
"We could not fill in this company's address on this page.","No hemos podido rellenar la dirección de esta empresa en esta página."
"Trusted proxies","Proxies de confianza"
"Trusted proxies: ""%1"" is not a valid IP address or CIDR range.","Proxies de confianza: ""%1"" no es una dirección IP ni un rango CIDR válido."
"Custom request headers","Cabeceras de solicitud personalizadas"
"Extra HTTP headers sent on every call this store makes to the %1 API, for merchants whose firewall or gateway requires one — a coarse network gate, not a credential. Tick ""Also send from browser"" only where your IT administrator needs the header on calls from the buyer's browser as well as those from your server: a ticked header is published to the buyer's browser and may be read by anyone. Check with support before ticking one — the browser's own direct call is refused unless %1 already allows that header name on it.","Cabeceras HTTP adicionales que se envían en cada llamada que esta tienda hace a la API de %1, para comerciantes cuyo firewall o pasarela lo requiera — una barrera de red general, no una credencial. Marca ""Enviar también desde el navegador"" solo cuando tu administrador de IT necesite la cabecera también en las llamadas desde el navegador del comprador, además de las que salen de tu servidor: una cabecera marcada se publica en el navegador del comprador y cualquiera puede leerla. Consulta con el soporte antes de marcar alguna — la llamada directa del propio navegador se rechaza a menos que %1 ya permita ese nombre de cabecera en ella."
"Header name","Nombre de la cabecera"
"Header value","Valor de la cabecera"
"Also send from browser","Enviar también desde el navegador"
"Add header","Añadir cabecera"
